Time,Temp
0,13.0551976907
0.0333333333333,13.0567632108
0.0666666666667,13.0739819517
0.1,13.0943266979
0.133333333333,13.1193594484
0.166666666667,13.1475121663
0.2,13.1959748312
0.233333333333,13.2490947411
0.266666666667,13.3115452198
0.3,13.3474330478
0.333333333333,13.4004564198
0.366666666667,13.4425393606
0.4,13.5079599772
0.433333333333,13.5437641319
0.466666666667,13.6153272416
0.5,13.6712913598
0.533333333333,13.7241128815
0.566666666667,13.7070271129
0.6,13.696152586
0.633333333333,13.8203513689
0.666666666667,13.9133840634
0.7,13.9614122402
0.733333333333,14.0326316204
0.766666666667,14.1022473673
0.8,14.1517188033
0.833333333333,14.1934390568
0.866666666667,14.2366840433
0.9,14.2968835986
0.933333333333,14.3385367889
0.966666666667,14.3878788533
1,14.4356535799
1.03333333333,14.4926424952
1.06666666667,14.5342067791
1.1,14.5972872767
1.13333333333,14.6418793864
1.16666666667,14.7002782664
1.2,14.7448214255
1.23333333333,14.7985524393
1.26666666667,14.8353789715
1.3,14.8859922103
1.33333333333,14.9243177414
1.36666666667,14.9702881923
1.4,15.014705465
1.43333333333,15.066754954
1.46666666667,15.1050088711
1.5,15.1417185363
1.53333333333,15.1860577114
1.56666666667,15.2150966818
1.6,15.2532928426
1.63333333333,15.286893282
1.66666666667,15.3159027017
1.7,15.3616898712
1.73333333333,15.3906775771
1.76666666667,15.4318562446
1.8,15.4699696445
1.83333333333,15.5019738063
1.86666666667,15.5324445804
1.9,15.5705202307
1.93333333333,15.5979259141
1.96666666667,15.6253242701
2,15.6618440547
2.03333333333,15.6785779657
2.06666666667,15.7059548859
2.1,15.7378854863
2.13333333333,15.7698062799
2.16666666667,15.7910813795
2.2,15.8199478044
2.23333333333,15.8518435542
2.26666666667,15.8776568373
2.3,15.9019459199
2.33333333333,15.9338168748
2.36666666667,15.9671952247
2.4,15.9929804152
2.43333333333,16.0263402408
2.46666666667,16.0551426362
2.5,16.0824219924
2.53333333333,16.1066645095
2.56666666667,16.1324162224
2.6,16.1596760684
2.63333333333,16.1763314939
2.66666666667,16.1990393298
2.7,16.2338488342
2.73333333333,16.2580576115
2.76666666667,16.2777233108
2.8,16.3034346905
2.83333333333,16.3336757009
2.86666666667,16.3608855438
2.9,16.3805329472
2.93333333333,16.409242142
2.96666666667,16.4379439499
3,16.4575777867
3.03333333333,16.4787180751
3.06666666667,16.501363973
3.1,16.5300422465
3.13333333333,16.5496600304
3.16666666667,16.5722917146
3.2,16.5994437848
3.23333333333,16.6220655663
3.26666666667,16.6431751865
3.3,16.6688030652
3.33333333333,16.6899040812
3.36666666667,16.7110012286
3.4,16.7411333205
3.43333333333,16.7637272408
3.46666666667,16.7802933194
3.5,16.8104074186
3.53333333333,16.8450290262
3.56666666667,16.8811450126
3.6,16.9007032055
3.63333333333,16.9307863995
3.66666666667,16.9428175335
3.7,16.9683796379
3.73333333333,16.9969425415
3.76666666667,17.0209902037
3.8,17.0345148868
3.83333333333,17.060057344
3.86666666667,17.0825902939
3.9,17.1126276697
3.93333333333,17.1306465092
3.96666666667,17.150163893
4,17.171179104
4.03333333333,17.1996939436
4.06666666667,17.2176998829
4.1,17.2342029991
4.13333333333,17.2552037523
4.16666666667,17.2747012382
4.2,17.3121877362
4.23333333333,17.3226819184
4.26666666667,17.3466652843
4.3,17.379634857
4.33333333333,17.3976145857
4.36666666667,17.4125957174
4.4,17.4365618026
4.43333333333,17.4545333652
4.46666666667,17.4754969462
4.5,17.5039419534
4.53333333333,17.526394025
4.56666666667,17.5428563544
4.6,17.5697901209
4.63333333333,17.5922305864
4.66666666667,17.6012056708
4.7,17.6221450922
4.73333333333,17.6445764017
4.76666666667,17.6670038077
4.8,17.6924168314
4.83333333333,17.6998903016
4.86666666667,17.7208137302
4.9,17.7462162294
4.93333333333,17.7686260947
4.96666666667,17.7910321247
5,17.8014869629
5.03333333333,17.82388739
5.06666666667,17.844791022
5.1,17.8716622659
5.13333333333,17.8940508112
5.16666666667,17.9134511699
5.2,17.9268805342
5.23333333333,17.9552269854
5.26666666667,17.9761100097
5.3,17.9954984859
5.33333333333,18.0089196435
5.36666666667,18.0283034063
5.4,18.0506658392
5.43333333333,18.0789863036
5.46666666667,18.0894186747
5.5,18.1117710725
5.53333333333,18.1385891344
5.56666666667,18.1609335206
5.6,18.1788064208
5.63333333333,18.1966770089
5.66666666667,18.2175231141
5.7,18.2368774098
5.73333333333,18.2636712259
5.76666666667,18.2830191194
5.8,18.2964122494
5.83333333333,18.317243468
5.86666666667,18.3395592105
5.9,18.3603840547
5.93333333333,18.37228259
5.96666666667,18.3886414466
6,18.4064853252
6.03333333333,18.4243269695
6.06666666667,18.4540580947
6.1,18.4600035795
6.13333333333,18.4748662148
6.16666666667,18.4912133402
6.2,18.5135018893
6.23333333333,18.5343014364
6.26666666667,18.5536126313
6.3,18.5595540213
6.33333333333,18.5773767374
6.36666666667,18.5996520728
6.4,18.618954622
6.43333333333,18.6456770408
6.46666666667,18.6634892939
6.5,18.675362936
6.53333333333,18.700591265
6.56666666667,18.7228479969
6.6,18.7406509886
6.63333333333,18.7480682754
6.66666666667,18.7688347229
6.7,18.7866322469
6.73333333333,18.804427665
6.76666666667,18.8340820318
6.8,18.8444596871
6.83333333333,18.8666951309
6.86666666667,18.8904093572
6.9,18.9126381
6.93333333333,18.9348636182
6.96666666667,18.9526417189
7,18.9644926465
7.03333333333,18.982267333
7.06666666667,19.0059637419
7.1,19.0266951349
7.13333333333,19.0429821516
7.16666666667,19.0548261882
7.2,19.0829521862
7.23333333333,19.1036733847
7.26666666667,19.1214322446
7.3,19.1332703761
7.33333333333,19.1495463628
7.36666666667,19.1702588431
7.4,19.1865310452
7.43333333333,19.2131547111
7.46666666667,19.2249860318
7.5,19.2412526755
7.53333333333,19.2634318159
7.56666666667,19.2870862117
7.6,19.3048247446
7.63333333333,19.3122152288
7.66666666667,19.3314289194
7.7,19.353595755
7.73333333333,19.3683719798
7.76666666667,19.3979204467
7.8,19.4112155301
7.83333333333,19.4289406466
7.86666666667,19.4496175564
7.9,19.4747217812
7.93333333333,19.4953930171
7.96666666667,19.5116329148
8,19.5234427641
8.03333333333,19.5455840016
8.06666666667,19.5677223399
8.1,19.5928089662
8.13333333333,19.5972356341
8.16666666667,19.6193672515
8.2,19.6414960071
8.23333333333,19.6650968716
8.26666666667,19.6872197485
8.3,19.7019667617
8.33333333333,19.7137634697
8.36666666667,19.7329314137
8.4,19.7506230309
8.43333333333,19.7771571038
8.46666666667,19.7904226367
8.5,19.8066347093
8.53333333333,19.8213716656
8.56666666667,19.846421678
8.6,19.8611553301
8.63333333333,19.8847266419
8.66666666667,19.9524769205
8.7,19.9686743083
8.73333333333,19.9863425386
8.76666666667,19.9937037952
8.8,20.0010647548
8.83333333333,20.0157857844
8.86666666667,20.0378651111
8.9,20.0555266629
8.93333333333,20.0673000907
8.96666666667,20.0996731551
9,20.1276271726
9.03333333333,20.1570479362
9.06666666667,20.1732273903
9.1,20.1805812279
9.13333333333,20.1938174133
9.16666666667,20.2099937151
9.2,20.226168637
9.23333333333,20.2423421833
9.26666666667,20.2511635394
9.3,20.2673349683
9.33333333333,20.2820350829
9.36666666667,20.2996737363
9.4,20.3231894314
9.43333333333,20.3452328017
9.46666666667,20.3467022707
9.5,20.3672736728
9.53333333333,20.3849045776
9.56666666667,20.4084099832
9.6,20.4289749091
9.63333333333,20.4421940874
9.66666666667,20.4598182861
9.7,20.4671612406
9.73333333333,20.4833147868
9.76666666667,20.4979986943
9.8,20.5200225364
9.83333333333,20.5347037564
9.86666666667,20.5508518635
9.9,20.5611272599
9.93333333333,20.5860796265
9.96666666667,20.6022236449
10,20.6227687323
,